Country_ID,Region_ID,Year,Week,ILI
1,4,2009,40,0
1,4,2009,41,0
1,4,2009,42,0
1,4,2009,43,0
1,4,2009,44,0
1,4,2009,45,0
1,4,2009,46,0
1,4,2009,47,0
1,4,2009,48,0
1,4,2009,49,0
1,4,2009,50,0
1,4,2009,51,0
1,4,2009,52,0
1,4,2010,1,0
1,4,2010,2,0
1,4,2010,3,0
1,4,2010,4,0
1,4,2010,5,0
1,4,2010,6,0
1,4,2010,7,0
1,4,2010,8,0
1,4,2010,10,0
1,4,2010,11,0
1,4,2010,12,0
1,4,2010,13,0
1,4,2010,14,0
1,4,2010,15,0
1,4,2010,16,0
1,4,2010,17,0
1,4,2010,18,0
1,4,2010,19,0
1,4,2010,20,0
1,4,2010,21,0
1,4,2010,22,0
1,4,2010,23,0
1,4,2010,24,0
1,4,2010,25,0
1,4,2010,26,0
1,4,2010,27,0
1,4,2010,28,0
1,4,2010,29,0
1,4,2010,30,0
1,4,2010,31,0
1,4,2010,32,0
1,4,2010,33,0
1,4,2010,34,0
1,4,2010,35,0
1,4,2010,36,0
1,4,2010,37,0
1,4,2010,38,0
1,4,2010,39,0
1,4,2010,40,0
1,4,2010,41,0
1,4,2010,42,0
1,4,2010,43,0
1,4,2010,44,0
1,4,2010,45,0
1,4,2010,46,0
1,4,2010,47,0
1,4,2010,48,0
1,4,2010,49,0
1,4,2010,50,0
1,4,2011,1,0
1,4,2011,2,0
1,4,2011,3,0
1,4,2011,4,0
1,4,2011,5,0
1,4,2011,6,0
1,4,2011,7,0
1,4,2011,8,0
1,4,2011,9,0
1,4,2011,10,0
1,4,2011,11,0
1,4,2011,12,0
1,4,2011,13,0
1,4,2011,14,0
1,4,2011,15,0
1,4,2011,16,0
1,4,2011,17,0
1,4,2011,18,0
1,4,2011,20,0
1,4,2011,21,0
1,4,2011,22,0
1,4,2011,23,0
1,4,2011,24,0
1,4,2011,25,0
1,4,2011,26,0
1,4,2011,27,0
1,4,2011,30,0
1,4,2011,31,0
1,4,2011,32,0
1,4,2011,33,0
1,4,2011,34,0
1,4,2011,35,0
1,4,2011,36,0
1,4,2012,1,0
1,4,2012,2,0
1,4,2012,3,0
1,4,2012,4,0
1,4,2012,5,0
1,4,2012,6,0
1,4,2012,7,0
1,4,2012,8,0
1,4,2012,9,0
1,4,2012,10,0
1,4,2012,11,0
1,4,2012,12,0
1,4,2012,13,0
1,4,2012,14,0
1,4,2012,15,0
1,4,2012,16,0
1,4,2012,17,0
1,4,2012,18,0
1,4,2012,19,0
1,4,2012,20,0
1,4,2012,21,0
1,4,2012,23,0
1,4,2013,1,0
1,4,2013,2,0
1,4,2013,7,0
1,4,2014,1,0
1,4,2014,2,0
1,4,2014,3,0
1,4,2014,4,0
1,4,2014,5,0
1,4,2014,6,0
1,4,2014,10,0
1,4,2014,11,0
1,4,2014,12,0
1,4,2014,13,0
1,4,2014,14,0
1,4,2014,15,0
1,4,2014,16,0
1,4,2015,2,0
1,4,2015,3,0
